Id,Name,Period,Wikipedia URL
ld1-1643399756728-1643399796118-0,Charles Wilkes,3 Apr 1798 - 8 Feb 1877,https://en.wikipedia.org/wiki/Charles_Wilkes
ld1-1643399756728-1643399796142-0,Francis Asbury,Aug 1745 - 31 Mar 1816,https://en.wikipedia.org/wiki/Francis_Asbury
ld1-1643399756728-1643399796398-0,Joshua Reed Giddings,6 Oct 1795 - 27 May 1864,https://en.wikipedia.org/wiki/Joshua_Reed_Giddings
ld1-1643399756728-1643399796448-0,Salmon Portland Chase,13 Jan 1808 - 7 May 1873,https://en.wikipedia.org/wiki/Salmon_Portland_Chase
ld1-1643399756728-1643399796449-0,Thomas Paul,1773 - 13 Apr 1831,https://en.wikipedia.org/wiki/Thomas_Paul_(Baptist_minister)
ld1-1643399756728-1643399796648-0,Joseph Galloway,1731 - 29 Aug 1803,https://en.wikipedia.org/wiki/Joseph_Galloway
ld1-1643399756728-1643399803278-1,Thayendanegea,Mar 1743 - 24 Nov 1807,https://en.wikipedia.org/wiki/Thayendanegea
ld1-1643399756728-1643399803327-0,Dorothea Lynde Dix,4 Apr 1802 - 18 Jul 1887,https://en.wikipedia.org/wiki/Dorothea_Lynde_Dix
ld1-1643399756728-1643399803360-0,Benjamin Tappan,25 May 1773 - 20 Apr 1857,https://en.wikipedia.org/wiki/Benjamin_Tappan
ld1-1643399756728-1643399803403-0,Jonas Phillips,1736 - 29 Jan 1803,https://en.wikipedia.org/wiki/Jonas_Phillips
ld1-1643399756728-1643399803404-0,Carter Braxton,10 Sep 1736 - 10 Oct 1797,https://en.wikipedia.org/wiki/Carter_Braxton
ld1-1643399756728-1643399803550-0,Jacob Jennings Brown,9 May 1775 - 24 Feb 1828,https://en.wikipedia.org/wiki/Jacob_Jennings_Brown
ld1-1643399756728-1643399803586-1,George Inness,1 May 1825 - 3 Aug 1894,https://en.wikipedia.org/wiki/George_Inness
ld1-1643399756728-1643399803591-1,William McKinley,29 Jan 1843 - 14 Sep 1901,https://en.wikipedia.org/wiki/William_McKinley
ld1-1643399756728-1643399803592-0,Valentine Mott,20 Aug 1785 - 26 Apr 1865,https://en.wikipedia.org/wiki/Valentine_Mott
ld1-1643399756728-1643399803618-1,John Rutledge,1739 - 18 Jul 1800,https://en.wikipedia.org/wiki/John_Rutledge
ld1-1643399756728-1643399803796-0,Rodman McCamley Price,5 May 1816 - 7 Jun 1894,https://en.wikipedia.org/wiki/Rodman_McCamley_Price
ld1-1643399756728-1643399803800-0,David Rittenhouse,8 Apr 1732 - 26 Jun 1796,https://en.wikipedia.org/wiki/David_Rittenhouse
ld1-1643399756728-1643399803801-0,John Quincy Adams,11 Jul 1767 - 23 Feb 1848,https://en.wikipedia.org/wiki/John_Quincy_Adams
ld1-1643399756728-1643399803805-1,Henry James,15 Apr 1843 - 28 Feb 1916,https://en.wikipedia.org/wiki/Henry_James
ld1-1643399756728-1643399803806-0,Henry James,15 Apr 1843 - 28 Feb 1916,https://en.wikipedia.org/wiki/Henry_James
ld1-1643399756728-1643399804566-0,Washington Irving,3 Apr 1783 - 28 Nov 1859,https://en.wikipedia.org/wiki/Washington_Irving
ld1-1643399756728-1643399805435-0,George Washington,22 Feb 1732 - 14 Dec 1799,https://en.wikipedia.org/wiki/George_Washington
ld1-1643399756728-1643399805436-1,Henry Wadsworth Longfellow,27 Feb 1807 - 24 Mar 1882,https://en.wikipedia.org/wiki/Henry_Wadsworth_Longfellow
ld1-1643399756728-1643399805442-0,H. H. Richardson,29 Sep 1838 - 27 Apr 1886,https://en.wikipedia.org/wiki/H._H._Richardson
ld1-1643399756728-1643399805444-1,Bushrod Washington,5 Jun 1762 - 26 Nov 1829,https://en.wikipedia.org/wiki/Bushrod_Washington
ld1-1643399756728-1643399805452-0,David Crockett,17 Aug 1786 - Mar 1836,https://en.wikipedia.org/wiki/David_Crockett
ld1-1643399756728-1643399805668-0,Junius Brutus Booth,1 May 1796 - 30 Nov 1852,https://en.wikipedia.org/wiki/Junius_Brutus_Booth
ld1-1643399756728-1643399805692-1,Daniel Morgan,1736 - 6 Jul 1802,https://en.wikipedia.org/wiki/Daniel_Morgan
ld1-1643399756728-1643399805835-0,John Ewing,1732 - 1802,https://en.wikipedia.org/wiki/John_Ewing_(pastor)
ld1-1643399756728-1643399806886-1,Red Cloud,1822 - 10 Dec 1909,https://en.wikipedia.org/wiki/Red_Cloud
ld1-1643399756728-1643399806893-0,Elisha Tyson,1749 - 16 Feb 1824,https://en.wikipedia.org/wiki/Elisha_Tyson
ld1-1643399756728-1643399807274-2,Maud Powell,22 Aug 1867 - 8 Jan 1920,https://en.wikipedia.org/wiki/Maud_Powell
ld1-1643399756728-1643399807804-0,Red Jacket,c. 1758 - 20 Jan 1830,https://en.wikipedia.org/wiki/Red_Jacket
ld1-1643399756728-1643399807807-0,Daniel Boone,11 Feb 1734 - 26 Sep 1820,https://en.wikipedia.org/wiki/Daniel_Boone
ld1-1643399756728-1643399809143-0,Henry Clay,12 Apr 1777 - 29 Jun 1852,https://en.wikipedia.org/wiki/Henry_Clay
ld1-1643399756728-1643399809248-1,Myron Timothy Herrick,9 Oct 1854 - 31 Mar 1929,https://en.wikipedia.org/wiki/Myron_Timothy_Herrick
ld1-1643399756728-1643399809618-1,John Caldwell Calhoun,18 Mar 1782 - 31 Mar 1850,https://en.wikipedia.org/wiki/John_Caldwell_Calhoun
ld1-1643399756728-1643399809619-0,James Buchanan,21 Apr 1791 - 1 Jun 1868,https://en.wikipedia.org/wiki/James_Buchanan
ld1-1643399756728-1643399809826-1,James Monroe,28 Apr 1758 - 4 Jul 1831,https://en.wikipedia.org/wiki/James_Monroe
